,HCPex_label,MMP_label,RegionName1,RegionName2,CortexDivision_label,CortexDivision_name
0,1,181,L_V1,V1 L,1,Primary_Visual
1,2,184,L_V2,V2 L,2,Early_Visual
2,3,185,L_V3,V3 L,2,Early_Visual
3,4,186,L_V4,V4 L,2,Early_Visual
4,5,197,L_IPS1,IPS1 L,3,Dorsal_Stream_Visual
5,6,193,L_V3A,V3A L,3,Dorsal_Stream_Visual
6,7,199,L_V3B,V3B L,3,Dorsal_Stream_Visual
7,8,183,L_V6,V6 L,3,Dorsal_Stream_Visual
8,9,332,L_V6A,V6A L,3,Dorsal_Stream_Visual
9,10,196,L_V7,V7 L,3,Dorsal_Stream_Visual
10,11,198,L_FFC,FFC L,4,Ventral_Stream_Visual
11,12,202,L_PIT,PIT L,4,Ventral_Stream_Visual
12,13,187,L_V8,V8 L,4,Ventral_Stream_Visual
13,14,333,L_VMV1,VMV1 L,4,Ventral_Stream_Visual
14,15,340,L_VMV2,VMV2 L,4,Ventral_Stream_Visual
15,16,334,L_VMV3,VMV3 L,4,Ventral_Stream_Visual
16,17,343,L_VVC,VVC L,4,Ventral_Stream_Visual
17,18,337,L_FST,FST L,5,MT+_Complex_and_Neighboring_Visual_Areas
18,19,200,L_LO1,LO1 L,5,MT+_Complex_and_Neighboring_Visual_Areas
19,20,201,L_LO2,LO2 L,5,MT+_Complex_and_Neighboring_Visual_Areas
20,21,339,L_LO3,LO3 L,5,MT+_Complex_and_Neighboring_Visual_Areas
21,22,182,L_MST,MST L,5,MT+_Complex_and_Neighboring_Visual_Areas
22,23,203,L_MT,MT L,5,MT+_Complex_and_Neighboring_Visual_Areas
23,24,318,L_PH,PH L,5,MT+_Complex_and_Neighboring_Visual_Areas
24,25,338,L_V3CD,V3CD L,5,MT+_Complex_and_Neighboring_Visual_Areas
25,26,336,L_V4t,V4t L,5,MT+_Complex_and_Neighboring_Visual_Areas
26,27,231,L_1,1 L,6,Somatosensory_and_Motor
27,28,232,L_2,2 L,6,Somatosensory_and_Motor
28,29,233,L_3a,3a L,6,Somatosensory_and_Motor
29,30,189,L_3b,3b L,6,Somatosensory_and_Motor
30,31,188,L_4,4 L,6,Somatosensory_and_Motor
31,32,218,L_23c,23c L,7,Paracentral_Lobular_and_Mid_Cingulate
32,33,220,L_24dd,24dd L,7,Paracentral_Lobular_and_Mid_Cingulate
33,34,221,L_24dv,24dv L,7,Paracentral_Lobular_and_Mid_Cingulate
34,35,219,L_5L,5L L,7,Paracentral_Lobular_and_Mid_Cingulate
35,36,216,L_5m,5m L,7,Paracentral_Lobular_and_Mid_Cingulate
36,37,217,L_5mv,5mv L,7,Paracentral_Lobular_and_Mid_Cingulate
37,38,224,L_6ma,6ma L,7,Paracentral_Lobular_and_Mid_Cingulate
38,39,235,L_6mp,6mp L,7,Paracentral_Lobular_and_Mid_Cingulate
39,40,223,L_SCEF,SCEF L,7,Paracentral_Lobular_and_Mid_Cingulate
40,41,192,L_55b,55b L,8,Premotor
41,42,276,L_6a,6a L,8,Premotor
42,43,234,L_6d,6d L,8,Premotor
43,44,258,L_6r,6r L,8,Premotor
44,45,236,L_6v,6v L,8,Premotor
45,46,190,L_FEF,FEF L,8,Premotor
46,47,191,L_PEF,PEF L,8,Premotor
47,48,279,L_43,43 L,9,Posterior_Opercular
48,49,293,L_FOP1,FOP1 L,9,Posterior_Opercular
49,50,281,L_OP1,OP1 L,9,Posterior_Opercular
50,51,282,L_OP2-3,OP2-3 L,9,Posterior_Opercular
51,52,280,L_OP4,OP4 L,9,Posterior_Opercular
52,53,283,L_52,52 L,10,Early_Auditory
53,54,204,L_A1,A1 L,10,Early_Auditory
54,55,354,L_LBelt,LBelt L,10,Early_Auditory
55,56,353,L_MBelt,MBelt L,10,Early_Auditory
56,57,304,L_PBelt,PBelt L,10,Early_Auditory
57,58,285,L_PFcm,PFcm L,10,Early_Auditory
58,59,284,L_RI,RI L,10,Early_Auditory
59,60,355,L_A4,A4 L,11,Auditory_Association
60,61,305,L_A5,A5 L,11,Auditory_Association
61,62,303,L_STGa,STGa L,11,Auditory_Association
62,63,308,L_STSda,STSda L,11,Auditory_Association
63,64,309,L_STSdp,STSdp L,11,Auditory_Association
64,65,356,L_STSva,STSva L,11,Auditory_Association
65,66,310,L_STSvp,STSvp L,11,Auditory_Association
66,67,287,L_TA2,TA2 L,11,Auditory_Association
67,68,292,L_AAIC,AAIC L,12,Insular_and_Frontal_Opercular
68,69,291,L_AVI,AVI L,12,Insular_and_Frontal_Opercular
69,70,295,L_FOP2,FOP2 L,12,Insular_and_Frontal_Opercular
70,71,294,L_FOP3,FOP3 L,12,Insular_and_Frontal_Opercular
71,72,288,L_FOP4,FOP4 L,12,Insular_and_Frontal_Opercular
72,73,349,L_FOP5,FOP5 L,12,Insular_and_Frontal_Opercular
73,74,348,L_Ig,Ig L,12,Insular_and_Frontal_Opercular
74,75,289,L_MI,MI L,12,Insular_and_Frontal_Opercular
75,76,358,L_PI,PI L,12,Insular_and_Frontal_Opercular
76,77,290,L_Pir,Pir L,12,Insular_and_Frontal_Opercular
77,78,347,L_PoI1,PoI1 L,12,Insular_and_Frontal_Opercular
78,79,286,L_PoI2,PoI2 L,12,Insular_and_Frontal_Opercular
79,80,300,L_Hipp,Hipp L,13,Medial_Temporal
80,81,299,L_PreS,PreS L,13,Medial_Temporal
81,82,298,L_EC,EC L,13,Medial_Temporal
82,83,302,L_PeEc,PeEc L,13,Medial_Temporal
83,84,315,L_TF,TF L,13,Medial_Temporal
84,85,306,L_PHA1,PHA1 L,13,Medial_Temporal
85,86,335,L_PHA2,PHA2 L,13,Medial_Temporal
86,87,307,L_PHA3,PHA3 L,13,Medial_Temporal
87,88,317,L_PHT,PHT L,14,Lateral_Temporal
88,89,312,L_TE1a,TE1a L,14,Lateral_Temporal
89,90,357,L_TE1m,TE1m L,14,Lateral_Temporal
90,91,313,L_TE1p,TE1p L,14,Lateral_Temporal
91,92,314,L_TE2a,TE2a L,14,Lateral_Temporal
92,93,316,L_TE2p,TE2p L,14,Lateral_Temporal
93,94,311,L_TGd,TGd L,14,Lateral_Temporal
94,95,352,L_TGv,TGv L,14,Lateral_Temporal
95,96,205,L_PSL,PSL L,15,Temporo-Parieto_Occipital_Junction
96,97,208,L_STV,STV L,15,Temporo-Parieto-Occipital_Junction
97,98,319,L_TPOJ1,TPOJ1 L,15,Temporo-Parieto-Occipital_Junction
