,HCPex_label,MMP_label,RegionName1,RegionName2,CortexDivision_label,CortexDivision_name,Long_name
0,1,181,L_V1,V1 L,1,Primary_Visual,Primary_Visual_Cortex_L
1,2,184,L_V2,V2 L,2,Early_Visual,Second_Visual_Area_L
2,3,185,L_V3,V3 L,2,Early_Visual,Third_Visual_Area_L
3,4,186,L_V4,V4 L,2,Early_Visual,Fourth_Visual_Area_L
4,5,197,L_IPS1,IPS1 L,3,Dorsal_Stream_Visual,IntraParietal_Sulcus_Area_1_L
5,6,193,L_V3A,V3A L,3,Dorsal_Stream_Visual,Area_V3A_L
6,7,199,L_V3B,V3B L,3,Dorsal_Stream_Visual,Area_V3B_L
7,8,183,L_V6,V6 L,3,Dorsal_Stream_Visual,Sixth_Visual_Area_L
8,9,332,L_V6A,V6A L,3,Dorsal_Stream_Visual,Area_V6A_L
9,10,196,L_V7,V7 L,3,Dorsal_Stream_Visual,Seventh_Visual_Area_L
10,11,198,L_FFC,FFC L,4,Ventral_Stream_Visual,Fusiform_Face_Complex_L
11,12,202,L_PIT,PIT L,4,Ventral_Stream_Visual,Posterior_InferoTemporal_complex_L
12,13,187,L_V8,V8 L,4,Ventral_Stream_Visual,Eighth_Visual_Area_L
13,14,333,L_VMV1,VMV1 L,4,Ventral_Stream_Visual,VentroMedial_Visual_Area_1_L
14,15,340,L_VMV2,VMV2 L,4,Ventral_Stream_Visual,VentroMedial_Visual_Area_2_L
15,16,334,L_VMV3,VMV3 L,4,Ventral_Stream_Visual,VentroMedial_Visual_Area_3_L
16,17,343,L_VVC,VVC L,4,Ventral_Stream_Visual,Ventral_Visual_Complex_L
17,18,337,L_FST,FST L,5,MT+_Complex_and_Neighboring_Visual_Areas,Area_FST_L
18,19,200,L_LO1,LO1 L,5,MT+_Complex_and_Neighboring_Visual_Areas,Area_Lateral_Occipital_1_L
19,20,201,L_LO2,LO2 L,5,MT+_Complex_and_Neighboring_Visual_Areas,Area_Lateral_Occipital_2_L
20,21,339,L_LO3,LO3 L,5,MT+_Complex_and_Neighboring_Visual_Areas,Area_Lateral_Occipital_3_L
21,22,182,L_MST,MST L,5,MT+_Complex_and_Neighboring_Visual_Areas,Medial_Superior_Temporal_Area_L
22,23,203,L_MT,MT L,5,MT+_Complex_and_Neighboring_Visual_Areas,Middle_Temporal_Area_L
23,24,318,L_PH,PH L,5,MT+_Complex_and_Neighboring_Visual_Areas,Area_PH_L
24,25,338,L_V3CD,V3CD L,5,MT+_Complex_and_Neighboring_Visual_Areas,Area_V3CD_L
25,26,336,L_V4t,V4t L,5,MT+_Complex_and_Neighboring_Visual_Areas,Area_V4t_L
26,27,231,L_1,1 L,6,Somatosensory_and_Motor,Area_1_L
27,28,232,L_2,2 L,6,Somatosensory_and_Motor,Area_2_L
28,29,233,L_3a,3a L,6,Somatosensory_and_Motor,Area_3a_L
29,30,189,L_3b,3b L,6,Somatosensory_and_Motor,Primary_Sensory_Cortex_L
30,31,188,L_4,4 L,6,Somatosensory_and_Motor,Primary_Motor_Cortex_L
31,32,218,L_23c,23c L,7,Paracentral_Lobular_and_Mid_Cingulate,Area_23c_L
32,33,220,L_24dd,24dd L,7,Paracentral_Lobular_and_Mid_Cingulate,Dorsal_Area_24d_L
33,34,221,L_24dv,24dv L,7,Paracentral_Lobular_and_Mid_Cingulate,Ventral_Area_24d_L
34,35,219,L_5L,5L L,7,Paracentral_Lobular_and_Mid_Cingulate,Area_5L_L
35,36,216,L_5m,5m L,7,Paracentral_Lobular_and_Mid_Cingulate,Area_5m_L
36,37,217,L_5mv,5mv L,7,Paracentral_Lobular_and_Mid_Cingulate,Area_5m_ventral_L
37,38,224,L_6ma,6ma L,7,Paracentral_Lobular_and_Mid_Cingulate,Area_6m_anterior_L
38,39,235,L_6mp,6mp L,7,Paracentral_Lobular_and_Mid_Cingulate,Area_6mp_L
39,40,223,L_SCEF,SCEF L,7,Paracentral_Lobular_and_Mid_Cingulate,Supplementary_and_Cingulate_Eye_Field_L
40,41,192,L_55b,55b L,8,Premotor,Area_55b_L
41,42,276,L_6a,6a L,8,Premotor,Area_6_anterior_L
42,43,234,L_6d,6d L,8,Premotor,Dorsal_area_6_L
43,44,258,L_6r,6r L,8,Premotor,Rostral_Area_6_L
44,45,236,L_6v,6v L,8,Premotor,Ventral_Area_6_L
45,46,190,L_FEF,FEF L,8,Premotor,Frontal_Eye_Fields_L
46,47,191,L_PEF,PEF L,8,Premotor,Premotor_Eye_Field_L
47,48,279,L_43,43 L,9,Posterior_Opercular,Area_43_L
48,49,293,L_FOP1,FOP1 L,9,Posterior_Opercular,Frontal_Opercular_Area_1_L
49,50,281,L_OP1,OP1 L,9,Posterior_Opercular,Area_OP1-SII_L
50,51,282,L_OP2-3,OP2-3 L,9,Posterior_Opercular,Area_OP2-3-VS_L
51,52,280,L_OP4,OP4 L,9,Posterior_Opercular,Area_OP4-PV_L
52,53,283,L_52,52 L,10,Early_Auditory,Area_52_L
53,54,204,L_A1,A1 L,10,Early_Auditory,Primary_Auditory_Cortex_L
54,55,354,L_LBelt,LBelt L,10,Early_Auditory,Lateral_Belt_Complex_L
55,56,353,L_MBelt,MBelt L,10,Early_Auditory,Medial_Belt_Complex_L
56,57,304,L_PBelt,PBelt L,10,Early_Auditory,ParaBelt_Complex_L
57,58,285,L_PFcm,PFcm L,10,Early_Auditory,Area_PFcm_L
58,59,284,L_RI,RI L,10,Early_Auditory,RetroInsular_Cortex_L
59,60,355,L_A4,A4 L,11,Auditory_Association,Auditory_4_Complex_L
60,61,305,L_A5,A5 L,11,Auditory_Association,Auditory_5_Complex_L
61,62,303,L_STGa,STGa L,11,Auditory_Association,Area_STGa_L
62,63,308,L_STSda,STSda L,11,Auditory_Association,Area_STSd_anterior_L
63,64,309,L_STSdp,STSdp L,11,Auditory_Association,Area_STSd_posterior_L
64,65,356,L_STSva,STSva L,11,Auditory_Association,Area_STSv_anterior_L
65,66,310,L_STSvp,STSvp L,11,Auditory_Association,Area_STSv_posterior_L
66,67,287,L_TA2,TA2 L,11,Auditory_Association,Area_TA2_L
67,68,292,L_AAIC,AAIC L,12,Insular_and_Frontal_Opercular,Anterior_Agranular_Insula_Complex_L
68,69,291,L_AVI,AVI L,12,Insular_and_Frontal_Opercular,Anterior_Ventral_Insular_Area_L
69,70,295,L_FOP2,FOP2 L,12,Insular_and_Frontal_Opercular,Frontal_Opercular_Area_2_L
70,71,294,L_FOP3,FOP3 L,12,Insular_and_Frontal_Opercular,Frontal_Opercular_Area_3_L
71,72,288,L_FOP4,FOP4 L,12,Insular_and_Frontal_Opercular,Frontal_Opercular_Area_4_L
72,73,349,L_FOP5,FOP5 L,12,Insular_and_Frontal_Opercular,Area_Frontal_Opercular_5_L
73,74,348,L_Ig,Ig L,12,Insular_and_Frontal_Opercular,Insular_Granular_Complex_L
74,75,289,L_MI,MI L,12,Insular_and_Frontal_Opercular,Middle_Insular_Area_L
75,76,358,L_PI,PI L,12,Insular_and_Frontal_Opercular,Para-Insular_Area_L
76,77,290,L_Pir,Pir L,12,Insular_and_Frontal_Opercular,Pirform_Cortex_L
77,78,347,L_PoI1,PoI1 L,12,Insular_and_Frontal_Opercular,Area_Posterior_Insular_1_L
78,79,286,L_PoI2,PoI2 L,12,Insular_and_Frontal_Opercular,Posterior_Insular_Area_2_L
79,80,300,L_Hipp,Hipp L,13,Medial_Temporal,Hippocampus_L
80,81,299,L_PreS,PreS L,13,Medial_Temporal,PreSubiculum_L
81,82,298,L_EC,EC L,13,Medial_Temporal,Entorhinal_Cortex_L
82,83,302,L_PeEc,PeEc L,13,Medial_Temporal,Perirhinal_Ectorhinal_Cortex_L
83,84,315,L_TF,TF L,13,Medial_Temporal,Area_TF_L
84,85,306,L_PHA1,PHA1 L,13,Medial_Temporal,ParaHippocampal_Area_1_L
85,86,335,L_PHA2,PHA2 L,13,Medial_Temporal,ParaHippocampal_Area_2_L
86,87,307,L_PHA3,PHA3 L,13,Medial_Temporal,ParaHippocampal_Area_3_L
87,88,317,L_PHT,PHT L,14,Lateral_Temporal,Area_PHT_L
88,89,312,L_TE1a,TE1a L,14,Lateral_Temporal,Area_TE1_anterior_L
