,index,name,base_name,Label Name,network,Full Component Name,hemisphere
0,1,17Networks_LH_VisCent_Striate_1,17networks_lh_viscent_striate,17networks_lh_viscent_striate,central visual  ,striate cortex,L
1,2,17Networks_LH_VisCent_Striate_2,17networks_lh_viscent_striate,17networks_lh_viscent_striate,central visual  ,striate cortex,L
2,3,17Networks_LH_VisCent_Striate_3,17networks_lh_viscent_striate,17networks_lh_viscent_striate,central visual  ,striate cortex,L
3,4,17Networks_LH_VisCent_Striate_4,17networks_lh_viscent_striate,17networks_lh_viscent_striate,central visual  ,striate cortex,L
4,5,17Networks_LH_VisCent_ExStr_1,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L
5,6,17Networks_LH_VisCent_ExStr_2,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L
6,7,17Networks_LH_VisCent_ExStr_3,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L
7,8,17Networks_LH_VisCent_ExStr_4,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L
8,9,17Networks_LH_VisCent_ExStr_5,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L
9,10,17Networks_LH_VisCent_ExStr_6,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L
10,11,17Networks_LH_VisCent_ExStr_7,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L
11,12,17Networks_LH_VisCent_ExStr_8,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L
12,13,17Networks_LH_VisCent_ExStr_9,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L
13,14,17Networks_LH_VisCent_ExStr_10,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L
14,15,17Networks_LH_VisCent_ExStr_11,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L
15,16,17Networks_LH_VisCent_ExStr_12,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L
16,17,17Networks_LH_VisCent_ExStr_13,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L
17,18,17Networks_LH_VisCent_ExStr_14,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L
18,19,17Networks_LH_VisCent_ExStr_15,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L
19,20,17Networks_LH_VisCent_ExStr_16,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L
20,21,17Networks_LH_VisCent_ExStr_17,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L
21,22,17Networks_LH_VisCent_ExStr_18,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L
22,23,17Networks_LH_VisCent_ExStr_19,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L
23,24,17Networks_LH_VisCent_ExStr_20,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L
24,25,17Networks_LH_VisPeri_StriCal_1,17networks_lh_visperi_strical,17networks_lh_visperi_strical,peripheral visual ,striate calcarine,L
25,26,17Networks_LH_VisPeri_StriCal_2,17networks_lh_visperi_strical,17networks_lh_visperi_strical,peripheral visual ,striate calcarine,L
26,27,17Networks_LH_VisPeri_StriCal_3,17networks_lh_visperi_strical,17networks_lh_visperi_strical,peripheral visual ,striate calcarine,L
27,28,17Networks_LH_VisPeri_StriCal_4,17networks_lh_visperi_strical,17networks_lh_visperi_strical,peripheral visual ,striate calcarine,L
28,29,17Networks_LH_VisPeri_StriCal_5,17networks_lh_visperi_strical,17networks_lh_visperi_strical,peripheral visual ,striate calcarine,L
29,30,17Networks_LH_VisPeri_StriCal_6,17networks_lh_visperi_strical,17networks_lh_visperi_strical,peripheral visual ,striate calcarine,L
30,31,17Networks_LH_VisPeri_ExStrInf_1,17networks_lh_visperi_exstrinf,17networks_lh_visperi_exstrinf,peripheral visual,extra-striate inferior,L
31,32,17Networks_LH_VisPeri_ExStrInf_2,17networks_lh_visperi_exstrinf,17networks_lh_visperi_exstrinf,peripheral visual,extra-striate inferior,L
32,33,17Networks_LH_VisPeri_ExStrInf_3,17networks_lh_visperi_exstrinf,17networks_lh_visperi_exstrinf,peripheral visual,extra-striate inferior,L
33,34,17Networks_LH_VisPeri_ExStrInf_4,17networks_lh_visperi_exstrinf,17networks_lh_visperi_exstrinf,peripheral visual,extra-striate inferior,L
34,35,17Networks_LH_VisPeri_ExStrInf_5,17networks_lh_visperi_exstrinf,17networks_lh_visperi_exstrinf,peripheral visual,extra-striate inferior,L
35,36,17Networks_LH_VisPeri_ExStrInf_6,17networks_lh_visperi_exstrinf,17networks_lh_visperi_exstrinf,peripheral visual,extra-striate inferior,L
36,37,17Networks_LH_VisPeri_ExStrInf_7,17networks_lh_visperi_exstrinf,17networks_lh_visperi_exstrinf,peripheral visual,extra-striate inferior,L
37,38,17Networks_LH_VisPeri_ExStrInf_8,17networks_lh_visperi_exstrinf,17networks_lh_visperi_exstrinf,peripheral visual,extra-striate inferior,L
38,39,17Networks_LH_VisPeri_ExStrSup_1,17networks_lh_visperi_exstrsup,17networks_lh_visperi_exstrsup,peripheral visual,extra-striate superior,L
39,40,17Networks_LH_VisPeri_ExStrSup_2,17networks_lh_visperi_exstrsup,17networks_lh_visperi_exstrsup,peripheral visual,extra-striate superior,L
40,41,17Networks_LH_VisPeri_ExStrSup_3,17networks_lh_visperi_exstrsup,17networks_lh_visperi_exstrsup,peripheral visual,extra-striate superior,L
41,42,17Networks_LH_VisPeri_ExStrSup_4,17networks_lh_visperi_exstrsup,17networks_lh_visperi_exstrsup,peripheral visual,extra-striate superior,L
42,43,17Networks_LH_VisPeri_ExStrSup_5,17networks_lh_visperi_exstrsup,17networks_lh_visperi_exstrsup,peripheral visual,extra-striate superior,L
43,44,17Networks_LH_VisPeri_ExStrSup_6,17networks_lh_visperi_exstrsup,17networks_lh_visperi_exstrsup,peripheral visual,extra-striate superior,L
44,45,17Networks_LH_VisPeri_ExStrSup_7,17networks_lh_visperi_exstrsup,17networks_lh_visperi_exstrsup,peripheral visual,extra-striate superior,L
45,46,17Networks_LH_VisPeri_ExStrSup_8,17networks_lh_visperi_exstrsup,17networks_lh_visperi_exstrsup,peripheral visual,extra-striate superior,L
46,47,17Networks_LH_VisPeri_ExStrSup_9,17networks_lh_visperi_exstrsup,17networks_lh_visperi_exstrsup,peripheral visual,extra-striate superior,L
47,48,17Networks_LH_SomMotA_1,17networks_lh_sommota,17networks_lh_sommota,somatomotor A,somatomotor A,L
48,49,17Networks_LH_SomMotA_2,17networks_lh_sommota,17networks_lh_sommota,somatomotor A,somatomotor A,L
49,50,17Networks_LH_SomMotA_3,17networks_lh_sommota,17networks_lh_sommota,somatomotor A,somatomotor A,L
50,51,17Networks_LH_SomMotA_4,17networks_lh_sommota,17networks_lh_sommota,somatomotor A,somatomotor A,L
51,52,17Networks_LH_SomMotA_5,17networks_lh_sommota,17networks_lh_sommota,somatomotor A,somatomotor A,L
52,53,17Networks_LH_SomMotA_6,17networks_lh_sommota,17networks_lh_sommota,somatomotor A,somatomotor A,L
53,54,17Networks_LH_SomMotA_7,17networks_lh_sommota,17networks_lh_sommota,somatomotor A,somatomotor A,L
54,55,17Networks_LH_SomMotA_8,17networks_lh_sommota,17networks_lh_sommota,somatomotor A,somatomotor A,L
55,56,17Networks_LH_SomMotA_9,17networks_lh_sommota,17networks_lh_sommota,somatomotor A,somatomotor A,L
56,57,17Networks_LH_SomMotA_10,17networks_lh_sommota,17networks_lh_sommota,somatomotor A,somatomotor A,L
57,58,17Networks_LH_SomMotA_11,17networks_lh_sommota,17networks_lh_sommota,somatomotor A,somatomotor A,L
58,59,17Networks_LH_SomMotA_12,17networks_lh_sommota,17networks_lh_sommota,somatomotor A,somatomotor A,L
59,60,17Networks_LH_SomMotA_13,17networks_lh_sommota,17networks_lh_sommota,somatomotor A,somatomotor A,L
