,index,name,base_name,Label Name,network,Full Component Name,hemisphere,component
0,1.0,17Networks_LH_VisCent_Striate_1,17networks_lh_viscent_striate,17networks_lh_viscent_striate,central visual  ,striate cortex,L,
1,2.0,17Networks_LH_VisCent_Striate_2,17networks_lh_viscent_striate,17networks_lh_viscent_striate,central visual  ,striate cortex,L,
2,3.0,17Networks_LH_VisCent_Striate_3,17networks_lh_viscent_striate,17networks_lh_viscent_striate,central visual  ,striate cortex,L,
3,4.0,17Networks_LH_VisCent_Striate_4,17networks_lh_viscent_striate,17networks_lh_viscent_striate,central visual  ,striate cortex,L,
4,5.0,17Networks_LH_VisCent_ExStr_1,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L,
5,6.0,17Networks_LH_VisCent_ExStr_2,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L,
6,7.0,17Networks_LH_VisCent_ExStr_3,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L,
7,8.0,17Networks_LH_VisCent_ExStr_4,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L,
8,9.0,17Networks_LH_VisCent_ExStr_5,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L,
9,10.0,17Networks_LH_VisCent_ExStr_6,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L,
10,11.0,17Networks_LH_VisCent_ExStr_7,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L,
11,12.0,17Networks_LH_VisCent_ExStr_8,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L,
12,13.0,17Networks_LH_VisCent_ExStr_9,17networks_lh_viscent_exstr,17networks_lh_viscent_exstr,central visual,extrastriate cortex,L,
