,index,name,base_name,Label Name,network,component,hemisphere
0,1.0,7Networks_LH_Vis_1,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
1,2.0,7Networks_LH_Vis_2,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
2,3.0,7Networks_LH_Vis_3,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
3,4.0,7Networks_LH_Vis_4,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
4,5.0,7Networks_LH_Vis_5,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
5,6.0,7Networks_LH_Vis_6,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
6,7.0,7Networks_LH_Vis_7,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
7,8.0,7Networks_LH_Vis_8,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
8,9.0,7Networks_LH_Vis_9,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
9,10.0,7Networks_LH_Vis_10,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
10,11.0,7Networks_LH_Vis_11,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
11,12.0,7Networks_LH_Vis_12,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
12,13.0,7Networks_LH_Vis_13,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
13,14.0,7Networks_LH_Vis_14,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
14,15.0,7Networks_LH_Vis_15,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
15,16.0,7Networks_LH_Vis_16,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
16,17.0,7Networks_LH_Vis_17,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
17,18.0,7Networks_LH_Vis_18,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
18,19.0,7Networks_LH_Vis_19,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
19,20.0,7Networks_LH_Vis_20,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
20,21.0,7Networks_LH_Vis_21,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
21,22.0,7Networks_LH_Vis_22,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
22,23.0,7Networks_LH_Vis_23,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
23,24.0,7Networks_LH_Vis_24,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L
24,25.0,7Networks_LH_SomMot_1,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
25,26.0,7Networks_LH_SomMot_2,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
26,27.0,7Networks_LH_SomMot_3,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
27,28.0,7Networks_LH_SomMot_4,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
28,29.0,7Networks_LH_SomMot_5,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
29,30.0,7Networks_LH_SomMot_6,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
30,31.0,7Networks_LH_SomMot_7,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
31,32.0,7Networks_LH_SomMot_8,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
32,33.0,7Networks_LH_SomMot_9,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
33,34.0,7Networks_LH_SomMot_10,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
34,35.0,7Networks_LH_SomMot_11,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
35,36.0,7Networks_LH_SomMot_12,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
36,37.0,7Networks_LH_SomMot_13,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
37,38.0,7Networks_LH_SomMot_14,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
38,39.0,7Networks_LH_SomMot_15,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
39,40.0,7Networks_LH_SomMot_16,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
40,41.0,7Networks_LH_SomMot_17,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
41,42.0,7Networks_LH_SomMot_18,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
42,43.0,7Networks_LH_SomMot_19,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
43,44.0,7Networks_LH_SomMot_20,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
44,45.0,7Networks_LH_SomMot_21,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
45,46.0,7Networks_LH_SomMot_22,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
46,47.0,7Networks_LH_SomMot_23,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
47,48.0,7Networks_LH_SomMot_24,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
48,49.0,7Networks_LH_SomMot_25,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L
